dia_Id,Dia;hora_Id,Hora,dia_Id;Dir.Med._a_1100cm,Humedad._a_620cm,Irradia.._a_200cm,Presion._a_150cm,Sig.Dir._a_1100cm,Sig.Vel._a_1100cm,Tem.Aire._a_620cm,Vel.Max._a_1100cm,Vel.Med._a_1100cm,hora_Id
"0,""2017-1-01""";"0,""00:00"",0";"247.3,""93.0"",""0.89"",""964.08"",""66.02"",""0.56"",""2.4"",""2.35"",""0.51"",0"
"0,""2017-1-01""";"1,""00:10"",0";"257.2,""93.7"",""1.17"",""964.02"",""28.71"",""0.59"",""2.26"",""2.74"",""1.06"",1"
"0,""2017-1-01""";"2,""00:20"",0";"233.5,""93.7"",""1.47"",""963.89"",""40.88"",""0.6"",""2.15"",""2.65"",""1.0"",2"
"0,""2017-1-01""";"3,""00:30"",0";"232.7,""92.4"",""1.21"",""963.74"",""24.92"",""0.77"",""2.25"",""3.04"",""1.34"",3"
"0,""2017-1-01""";"4,""00:40"",0";"259.2,""92.6"",""1.04"",""963.6"",""32.26"",""0.8"",""2.04"",""3.33"",""1.32"",4"
"0,""2017-1-01""";"5,""00:50"",0";"255.3,""91.4"",""1.04"",""963.49"",""24.39"",""0.77"",""1.94"",""3.82"",""1.43"",5"
"0,""2017-1-01""";"6,""01:00"",0";"258.3,""91.5"",""1.36"",""963.35"",""21.88"",""0.77"",""1.87"",""3.53"",""1.77"",6"
"0,""2017-1-01""";"7,""01:10"",0";"236.2,""93.0"",""1.14"",""963.31"",""18.54"",""0.64"",""1.7"",""3.14"",""1.62"",7"
"0,""2017-1-01""";"8,""01:20"",0";"222.2,""92.7"",""1.31"",""963.2"",""60.14"",""0.54"",""2.01"",""2.16"",""0.64"",8"
"0,""2017-1-01""";"9,""01:30"",0";"284.8,""91.5"",""1.2"",""963.16"",""16.29"",""0.36"",""2.05"",""1.47"",""0.69"",9"
"0,""2017-1-01""";"10,""01:40"",0";"272.2,""91.6"",""1.29"",""963.07"",""19.22"",""0.43"",""2.05"",""2.06"",""1.09"",10"
"0,""2017-1-01""";"11,""01:50"",0";"234.8,""91.9"",""1.05"",""963.05"",""16.04"",""0.87"",""1.83"",""4.02"",""2.05"",11"
"0,""2017-1-01""";"12,""02:00"",0";"207.1,""94.0"",""1.36"",""963.0"",""42.58"",""0.72"",""1.54"",""3.63"",""1.86"",12"
"0,""2017-1-01""";"13,""02:10"",0";"229.2,""93.2"",""1.15"",""963.01"",""54.5"",""0.47"",""1.95"",""2.06"",""0.58"",13"
"0,""2017-1-01""";"14,""02:20"",0";"246.3,""91.5"",""1.21"",""962.97"",""43.65"",""0.56"",""1.98"",""2.35"",""1.01"",14"
"0,""2017-1-01""";"15,""02:30"",0";"192.6,""91.1"",""1.2"",""962.9"",""52.9"",""0.54"",""2.12"",""2.25"",""0.56"",15"
"0,""2017-1-01""";"16,""02:40"",0";"218.3,""90.6"",""1.54"",""962.81"",""76.88"",""0.53"",""1.85"",""1.96"",""0.5"",16"
"0,""2017-1-01""";"17,""02:50"",0";"208.5,""90.5"",""1.07"",""962.78"",""25.12"",""0.51"",""1.78"",""3.14"",""1.85"",17"
"0,""2017-1-01""";"18,""03:00"",0";"189.0,""91.3"",""1.22"",""962.68"",""34.02"",""0.57"",""1.66"",""2.74"",""1.36"",18"
"0,""2017-1-01""";"19,""03:10"",0";"241.4,""90.5"",""1.09"",""962.48"",""23.83"",""0.57"",""1.76"",""2.16"",""0.93"",19"
"0,""2017-1-01""";"20,""03:20"",0";"234.0,""90.1"",""1.11"",""962.31"",""24.2"",""0.77"",""1.65"",""3.23"",""1.42"",20"
"0,""2017-1-01""";"21,""03:30"",0";"193.5,""89.8"",""1.13"",""962.23"",""27.02"",""0.53"",""1.71"",""2.06"",""0.95"",21"
"0,""2017-1-01""";"22,""03:40"",0";"177.7,""90.4"",""0.97"",""962.06"",""67.95"",""0.64"",""1.53"",""2.74"",""0.91"",22"
"0,""2017-1-01""";"23,""03:50"",0";"236.2,""91.4"",""1.52"",""961.96"",""25.71"",""0.7"",""1.38"",""2.74"",""1.49"",23"
"0,""2017-1-01""";"24,""04:00"",0";"170.0,""91.2"",""0.92"",""961.85"",""21.53"",""0.84"",""1.2"",""3.63"",""1.76"",24"
"0,""2017-1-01""";"25,""04:10"",0";"193.2,""90.4"",""1.52"",""961.73"",""41.45"",""0.37"",""1.44"",""1.37"",""0.55"",25"
"0,""2017-1-01""";"26,""04:20"",0";"203.1,""91.4"",""0.96"",""961.63"",""27.54"",""0.75"",""1.11"",""3.63"",""2.15"",26"
"0,""2017-1-01""";"27,""04:30"",0";"183.8,""90.9"",""1.11"",""961.55"",""38.38"",""0.89"",""1.18"",""4.51"",""1.78"",27"
"0,""2017-1-01""";"28,""04:40"",0";"217.0,""91.7"",""0.58"",""961.47"",""20.92"",""0.65"",""0.75"",""4.51"",""2.8"",28"
"0,""2017-1-01""";"29,""04:50"",0";"210.7,""93.4"",""1.2"",""961.38"",""27.46"",""0.59"",""0.58"",""3.63"",""2.14"",29"
"0,""2017-1-01""";"30,""05:00"",0";"211.1,""92.3"",""1.0"",""961.34"",""31.87"",""0.87"",""0.78"",""3.92"",""1.93"",30"
"0,""2017-1-01""";"31,""05:10"",0";"202.0,""91.2"",""1.11"",""961.3"",""34.88"",""0.61"",""0.88"",""2.55"",""1.11"",31"
"0,""2017-1-01""";"32,""05:20"",0";"209.3,""90.8"",""1.26"",""961.27"",""36.51"",""0.97"",""0.8"",""3.63"",""1.72"",32"
"0,""2017-1-01""";"33,""05:30"",0";"207.0,""91.0"",""1.26"",""961.24"",""40.58"",""0.62"",""0.78"",""2.74"",""1.4"",33"
"0,""2017-1-01""";"34,""05:40"",0";"224.1,""90.8"",""1.34"",""961.05"",""24.1"",""0.8"",""0.57"",""3.63"",""2.04"",34"
"0,""2017-1-01""";"35,""05:50"",0";"171.9,""91.3"",""1.36"",""960.91"",""19.39"",""0.94"",""0.51"",""4.02"",""2.03"",35"
"0,""2017-1-01""";"36,""06:00"",0";"207.7,""91.4"",""1.1"",""960.85"",""38.03"",""0.77"",""0.61"",""2.74"",""1.31"",36"
"0,""2017-1-01""";"37,""06:10"",0";"211.7,""91.1"",""0.82"",""960.72"",""21.68"",""0.87"",""0.57"",""3.72"",""2.07"",37"
"0,""2017-1-01""";"38,""06:20"",0";"197.7,""90.7"",""1.18"",""960.7"",""30.08"",""0.62"",""0.46"",""3.33"",""1.77"",38"
"0,""2017-1-01""";"39,""06:30"",0";"176.3,""89.8"",""1.03"",""960.68"",""31.63"",""0.63"",""0.57"",""3.23"",""1.18"",39"
"0,""2017-1-01""";"40,""06:40"",0";"182.7,""89.2"",""1.35"",""960.62"",""48.59"",""0.5"",""0.64"",""2.06"",""0.94"",40"
"0,""2017-1-01""";"41,""06:50"",0";"227.1,""89.3"",""1.29"",""960.72"",""20.5"",""0.4"",""0.57"",""2.45"",""1.44"",41"
"0,""2017-1-01""";"42,""07:00"",0";"213.5,""90.9"",""1.04"",""960.67"",""37.38"",""0.61"",""0.42"",""2.25"",""0.96"",42"
"0,""2017-1-01""";"43,""07:10"",0";"225.0,""90.1"",""1.3"",""960.62"",""17.52"",""0.28"",""0.73"",""1.27"",""0.66"",43"
"0,""2017-1-01""";"44,""07:20"",0";"299.8,""89.4"",""0.82"",""960.63"",""76.65"",""0.34"",""0.76"",""1.57"",""0.45"",44"
"0,""2017-1-01""";"45,""07:30"",0";"156.8,""89.2"",""0.88"",""960.51"",""21.67"",""0.4"",""0.62"",""1.86"",""0.97"",45"
"0,""2017-1-01""";"46,""07:40"",0";"154.0,""88.8"",""1.66"",""960.47"",""15.48"",""0.29"",""0.41"",""1.76"",""1.01"",46"
"0,""2017-1-01""";"47,""07:50"",0";"189.1,""88.5"",""4.56"",""960.37"",""31.89"",""0.41"",""0.64"",""1.67"",""0.75"",47"
"0,""2017-1-01""";"48,""08:00"",0";"199.9,""87.7"",""7.6"",""960.36"",""61.19"",""0.45"",""0.63"",""1.86"",""0.78"",48"
"0,""2017-1-01""";"49,""08:10"",0";"194.2,""87.3"",""10.46"",""960.33"",""24.11"",""0.4"",""0.61"",""1.67"",""0.65"",49"
"0,""2017-1-01""";"50,""08:20"",0";"233.7,""87.0"",""20.64"",""960.21"",""37.98"",""0.26"",""0.75"",""1.18"",""0.25"",50"
"0,""2017-1-01""";"51,""08:30"",0";"197.5,""85.6"",""33.21"",""960.09"",""35.24"",""0.48"",""0.93"",""2.25"",""0.65"",51"
"0,""2017-1-01""";"52,""08:40"",0";"153.7,""87.1"",""43.3"",""960.07"",""15.79"",""0.21"",""0.53"",""1.08"",""0.46"",52"
"0,""2017-1-01""";"53,""08:50"",0";"169.3,""87.5"",""60.5"",""960.04"",""43.09"",""0.27"",""0.63"",""1.08"",""0.45"",53"
"0,""2017-1-01""";"54,""09:00"",0";"216.6,""86.5"",""72.97"",""959.94"",""50.03"",""0.42"",""0.8"",""1.76"",""0.56"",54"
"0,""2017-1-01""";"55,""09:10"",0";"152.4,""87.1"",""90.8"",""959.95"",""28.73"",""0.34"",""0.58"",""1.67"",""0.52"",55"
"0,""2017-1-01""";"56,""09:20"",0";"304.5,""87.2"",""88.2"",""959.94"",""31.7"",""0.61"",""0.82"",""2.74"",""1.1"",56"
"0,""2017-1-01""";"57,""09:30"",0";"286.2,""88.6"",""87.7"",""959.93"",""45.54"",""0.6"",""0.66"",""2.45"",""1.22"",57"
"0,""2017-1-01""";"58,""09:40"",0";"305.4,""88.3"",""97.7"",""959.97"",""28.64"",""0.56"",""0.67"",""2.45"",""1.26"",58"
"0,""2017-1-01""";"59,""09:50"",0";"276.1,""87.5"",""111.5"",""959.99"",""32.58"",""0.44"",""0.83"",""1.76"",""0.77"",59"
"0,""2017-1-01""";"60,""10:00"",0";"275.3,""85.5"",""244.2"",""959.91"",""29.78"",""0.42"",""1.12"",""1.76"",""0.97"",60"
"0,""2017-1-01""";"61,""10:10"",0";"279.0,""82.6"",""308.1"",""959.82"",""26.83"",""0.63"",""1.74"",""2.55"",""0.87"",61"
"0,""2017-1-01""";"62,""10:20"",0";"301.6,""82.1"",""206.1"",""959.66"",""44.03"",""0.48"",""1.78"",""2.06"",""0.69"",62"
"0,""2017-1-01""";"63,""10:30"",0";"307.9,""82.1"",""361.7"",""959.57"",""36.43"",""0.53"",""1.79"",""2.45"",""1.15"",63"
"0,""2017-1-01""";"64,""10:40"",0";"289.9,""79.76"",""374.6"",""959.44"",""49.34"",""0.93"",""2.29"",""3.82"",""1.14"",64"
"0,""2017-1-01""";"65,""10:50"",0";"293.8,""84.0"",""414.8"",""959.37"",""34.25"",""0.79"",""1.38"",""3.23"",""1.66"",65"
"0,""2017-1-01""";"66,""11:00"",0";"282.6,""82.3"",""398.9"",""959.16"",""46.7"",""0.9"",""1.74"",""3.43"",""1.26"",66"
"0,""2017-1-01""";"67,""11:10"",0";"277.5,""83.0"",""446.1"",""959.04"",""18.36"",""0.53"",""1.67"",""2.94"",""1.69"",67"
"0,""2017-1-01""";"68,""11:20"",0";"260.4,""81.8"",""411.4"",""958.83"",""36.6"",""0.67"",""1.9"",""2.94"",""1.46"",68"
"0,""2017-1-01""";"69,""11:30"",0";"278.7,""82.0"",""451.0"",""958.68"",""29.14"",""0.66"",""1.81"",""3.43"",""1.8"",69"
"0,""2017-1-01""";"70,""11:40"",0";"290.5,""83.2"",""467.6"",""958.47"",""34.19"",""0.87"",""1.7"",""3.82"",""1.69"",70"
"0,""2017-1-01""";"71,""11:50"",0";"256.2,""78.97"",""466.1"",""958.3"",""58.88"",""0.72"",""2.45"",""3.33"",""1.25"",71"
"0,""2017-1-01""";"72,""12:00"",0";"249.4,""82.3"",""439.2"",""958.23"",""26.3"",""0.79"",""1.79"",""3.72"",""1.84"",72"
"0,""2017-1-01""";"73,""12:10"",0";"275.4,""81.3"",""430.7"",""958.08"",""33.38"",""0.66"",""2.06"",""3.63"",""1.62"",73"
"0,""2017-1-01""";"74,""12:20"",0";"262.0,""81.8"",""433.2"",""957.93"",""20.52"",""0.74"",""1.92"",""5.0"",""2.51"",74"
"0,""2017-1-01""";"75,""12:30"",0";"256.0,""81.1"",""430.1"",""957.73"",""26.63"",""0.67"",""2.17"",""3.63"",""2.21"",75"
"0,""2017-1-01""";"76,""12:40"",0";"272.0,""78.6"",""426.4"",""957.52"",""47.93"",""0.73"",""2.78"",""2.94"",""1.11"",76"
"0,""2017-1-01""";"77,""12:50"",0";"252.8,""77.07"",""423.3"",""957.38"",""29.2"",""0.52"",""3.11"",""2.84"",""1.34"",77"
"0,""2017-1-01""";"78,""13:00"",0";"271.5,""76.95"",""416.1"",""957.2"",""27.03"",""0.71"",""3.24"",""2.45"",""1.13"",78"
"0,""2017-1-01""";"79,""13:10"",0";"261.0,""75.38"",""408.5"",""956.99"",""34.35"",""0.52"",""3.55"",""3.63"",""1.2"",79"
"0,""2017-1-01""";"80,""13:20"",0";"266.3,""73.14"",""397.8"",""956.86"",""37.47"",""0.68"",""3.89"",""2.84"",""1.23"",80"
"0,""2017-1-01""";"81,""13:30"",0";"259.7,""74.85"",""387.0"",""956.76"",""28.11"",""0.67"",""3.59"",""3.53"",""1.32"",81"
"0,""2017-1-01""";"82,""13:40"",0";"245.4,""75.48"",""376.0"",""956.6"",""20.12"",""0.55"",""3.35"",""2.94"",""1.79"",82"
"0,""2017-1-01""";"83,""13:50"",0";"255.4,""74.7"",""361.5"",""956.5"",""22.56"",""0.6"",""3.68"",""2.84"",""1.53"",83"
"0,""2017-1-01""";"84,""14:00"",0";"266.7,""72.07"",""344.7"",""956.46"",""43.99"",""0.5"",""4.35"",""2.16"",""0.68"",84"
"0,""2017-1-01""";"85,""14:10"",0";"270.3,""69.49"",""328.5"",""956.42"",""47.28"",""0.53"",""4.9"",""2.45"",""0.85"",85"
"0,""2017-1-01""";"86,""14:20"",0";"244.1,""70.31"",""311.0"",""956.44"",""61.94"",""0.9"",""4.92"",""3.33"",""1.19"",86"
"0,""2017-1-01""";"87,""14:30"",0";"248.2,""73.35"",""292.5"",""956.4"",""31.18"",""0.61"",""4.3"",""3.82"",""1.7"",87"
"0,""2017-1-01""";"88,""14:40"",0";"247.6,""74.38"",""272.3"",""956.35"",""27.44"",""0.61"",""4.11"",""3.43"",""1.57"",88"
"0,""2017-1-01""";"89,""14:50"",0";"271.0,""74.78"",""249.7"",""956.26"",""24.47"",""0.51"",""4.22"",""3.14"",""1.79"",89"
"0,""2017-1-01""";"90,""15:00"",0";"255.9,""72.98"",""226.3"",""956.22"",""26.95"",""0.59"",""4.6"",""2.65"",""1.33"",90"
"0,""2017-1-01""";"91,""15:10"",0";"254.1,""73.05"",""204.7"",""956.25"",""31.29"",""0.7"",""4.62"",""3.33"",""1.47"",91"
"0,""2017-1-01""";"92,""15:20"",0";"247.3,""74.2"",""186.1"",""956.16"",""25.22"",""0.72"",""4.44"",""4.61"",""1.92"",92"
"0,""2017-1-01""";"93,""15:30"",0";"247.0,""74.5"",""164.0"",""956.19"",""32.01"",""0.76"",""4.37"",""3.82"",""1.72"",93"
"0,""2017-1-01""";"94,""15:40"",0";"254.8,""74.85"",""141.3"",""956.14"",""21.07"",""0.7"",""4.35"",""3.53"",""1.91"",94"
"0,""2017-1-01""";"95,""15:50"",0";"252.8,""75.98"",""117.3"",""956.08"",""18.65"",""0.71"",""4.18"",""4.12"",""2.36"",95"
"0,""2017-1-01""";"96,""16:00"",0";"256.5,""77.17"",""92.9"",""955.96"",""16.14"",""0.6"",""4.04"",""3.63"",""2.09"",96"
"0,""2017-1-01""";"97,""16:10"",0";"259.6,""79.2"",""70.24"",""955.95"",""15.72"",""0.56"",""3.67"",""3.43"",""2.39"",97"
"0,""2017-1-01""";"98,""16:20"",0";"259.4,""80.3"",""48.18"",""955.91"",""22.99"",""1.03"",""3.45"",""4.41"",""2.22"",98"
"0,""2017-1-01""";"99,""16:30"",0";"256.1,""81.5"",""28.12"",""955.92"",""23.63"",""1.12"",""3.05"",""5.0"",""2.79"",99"
"0,""2017-1-01""";"100,""16:40"",0";"257.4,""84.2"",""10.67"",""955.91"",""13.8"",""0.87"",""2.49"",""5.29"",""3.73"",100"
"0,""2017-1-01""";"101,""16:50"",0";"264.6,""86.3"",""2.94"",""955.88"",""17.52"",""1.1"",""2.12"",""5.39"",""3.2"",101"
"0,""2017-1-01""";"102,""17:00"",0";"258.9,""86.9"",""0.79"",""955.97"",""18.11"",""0.88"",""1.92"",""5.68"",""3.32"",102"
"0,""2017-1-01""";"103,""17:10"",0";"259.5,""87.6"",""0.7"",""956.02"",""19.52"",""0.89"",""1.8"",""5.19"",""3.38"",103"
"0,""2017-1-01""";"104,""17:20"",0";"263.0,""88.5"",""0.31"",""956.02"",""15.0"",""0.7"",""1.65"",""4.7"",""2.98"",104"
"0,""2017-1-01""";"105,""17:30"",0";"262.6,""89.4"",""0.08"",""956.05"",""16.94"",""0.79"",""1.46"",""4.51"",""2.7"",105"
"0,""2017-1-01""";"106,""17:40"",0";"263.5,""90.1"",""0.22"",""956.1"",""18.89"",""0.77"",""1.38"",""4.12"",""2.49"",106"
"0,""2017-1-01""";"107,""17:50"",0";"259.7,""90.4"",""0.3"",""956.13"",""13.3"",""0.69"",""1.32"",""4.21"",""2.54"",107"
"0,""2017-1-01""";"108,""18:00"",0";"249.5,""90.8"",""0.18"",""956.2"",""22.65"",""0.75"",""1.24"",""3.72"",""1.84"",108"
"0,""2017-1-01""";"109,""18:10"",0";"259.9,""91.8"",""0.27"",""956.15"",""19.16"",""0.83"",""1.03"",""4.61"",""2.09"",109"
"0,""2017-1-01""";"110,""18:20"",0";"259.7,""92.9"",""0.3"",""956.1"",""19.05"",""0.74"",""0.86"",""4.02"",""2.22"",110"
"0,""2017-1-01""";"111,""18:30"",0";"261.5,""93.1"",""0.22"",""956.09"",""20.07"",""0.65"",""0.88"",""4.02"",""2.12"",111"
"0,""2017-1-01""";"112,""18:40"",0";"253.2,""93.1"",""0.21"",""956.08"",""19.41"",""0.96"",""0.9"",""4.51"",""2.34"",112"
"0,""2017-1-01""";"113,""18:50"",0";"249.4,""94.1"",""0.25"",""956.18"",""28.54"",""1.05"",""0.68"",""4.8"",""2.25"",113"
"0,""2017-1-01""";"114,""19:00"",0";"257.2,""94.7"",""0.22"",""956.17"",""28.99"",""1.1"",""0.65"",""4.7"",""2.14"",114"
"0,""2017-1-01""";"115,""19:10"",0";"246.5,""95.4"",""0.32"",""956.19"",""19.87"",""0.75"",""0.57"",""4.21"",""1.99"",115"
"0,""2017-1-01""";"116,""19:20"",0";"240.8,""96.0"",""0.29"",""956.05"",""22.0"",""0.95"",""0.54"",""4.31"",""1.88"",116"
"0,""2017-1-01""";"117,""19:30"",0";"241.8,""95.8"",""0.18"",""956.05"",""25.95"",""0.55"",""0.66"",""3.14"",""1.34"",117"
"0,""2017-1-01""";"118,""19:40"",0";"247.0,""95.5"",""0.21"",""956.03"",""16.92"",""0.85"",""0.64"",""4.21"",""2.03"",118"
"0,""2017-1-01""";"119,""19:50"",0";"251.1,""96.1"",""0.51"",""956.03"",""18.48"",""0.87"",""0.54"",""4.8"",""2.4"",119"
"0,""2017-1-01""";"120,""20:00"",0";"247.4,""97.1"",""0.4"",""956.11"",""19.57"",""0.86"",""0.39"",""5.1"",""2.84"",120"
"0,""2017-1-01""";"121,""20:10"",0";"240.9,""98.8"",""0.57"",""955.98"",""11.19"",""0.59"",""0.25"",""4.02"",""2.05"",121"
"0,""2017-1-01""";"122,""20:20"",0";"252.1,""99.0"",""0.32"",""955.94"",""19.61"",""0.82"",""0.3"",""3.33"",""1.52"",122"
"0,""2017-1-01""";"123,""20:30"",0";"270.7,""98.7"",""0.34"",""956.03"",""20.51"",""0.75"",""0.37"",""4.12"",""1.7"",123"
"0,""2017-1-01""";"124,""20:40"",0";"254.0,""99.1"",""0.39"",""956.02"",""16.65"",""0.82"",""0.12"",""4.31"",""2.49"",124"
"0,""2017-1-01""";"125,""20:50"",0";"255.6,""99.1"",""0.43"",""955.97"",""21.81"",""0.89"",""0.0"",""4.61"",""2.72"",125"
"0,""2017-1-01""";"126,""21:00"",0";"245.2,""99.1"",""0.31"",""955.9"",""17.66"",""0.68"",""0.05"",""3.92"",""1.6"",126"
"0,""2017-1-01""";"127,""21:10"",0";"242.1,""99.1"",""0.27"",""955.86"",""7.35"",""0.39"",""-0.09"",""3.43"",""2.48"",127"
"0,""2017-1-01""";"128,""21:20"",0";"226.9,""97.6"",""0.38"",""955.86"",""21.12"",""0.68"",""0.03"",""4.21"",""2.21"",128"
"0,""2017-1-01""";"129,""21:30"",0";"264.5,""97.6"",""0.4"",""955.85"",""17.02"",""0.77"",""-0.03"",""3.23"",""1.83"",129"
"0,""2017-1-01""";"130,""21:40"",0";"261.4,""99.0"",""0.82"",""955.73"",""23.33"",""0.68"",""0.1"",""3.04"",""1.54"",130"
"0,""2017-1-01""";"131,""21:50"",0";"240.6,""99.0"",""0.96"",""955.59"",""10.29"",""0.39"",""-0.02"",""3.14"",""2.03"",131"
"0,""2017-1-01""";"132,""22:00"",0";"264.0,""99.0"",""0.89"",""955.62"",""24.49"",""0.82"",""0.11"",""3.92"",""1.41"",132"
"0,""2017-1-01""";"133,""22:10"",0";"271.8,""98.4"",""0.74"",""955.63"",""26.2"",""0.97"",""0.1"",""4.31"",""1.94"",133"
"0,""2017-1-01""";"134,""22:20"",0";"251.8,""98.4"",""0.49"",""955.64"",""18.16"",""0.96"",""-0.06"",""4.8"",""2.17"",134"
"0,""2017-1-01""";"135,""22:30"",0";"231.9,""97.5"",""0.24"",""955.53"",""23.19"",""0.59"",""-0.02"",""2.45"",""1.03"",135"
"0,""2017-1-01""";"136,""22:40"",0";"250.6,""95.9"",""0.17"",""955.52"",""30.3"",""0.5"",""0.08"",""1.86"",""0.77"",136"
"0,""2017-1-01""";"137,""22:50"",0";"230.6,""94.3"",""0.2"",""955.55"",""49.92"",""0.76"",""0.0"",""3.04"",""1.13"",137"
"0,""2017-1-01""";"138,""23:00"",0";"243.0,""94.5"",""0.53"",""955.72"",""14.3"",""0.59"",""-0.41"",""4.51"",""2.64"",138"
"0,""2017-1-01""";"139,""23:10"",0";"238.8,""97.3"",""0.51"",""955.7"",""10.66"",""0.41"",""-0.58"",""2.94"",""1.96"",139"
"0,""2017-1-01""";"140,""23:20"",0";"232.4,""97.6"",""0.3"",""955.73"",""19.32"",""0.76"",""-0.52"",""3.33"",""1.81"",140"
"0,""2017-1-01""";"141,""23:30"",0";"211.9,""96.3"",""0.31"",""955.7"",""23.63"",""0.69"",""-0.25"",""2.45"",""1.17"",141"
"0,""2017-1-01""";"142,""23:40"",0";"182.7,""93.1"",""0.3"",""955.67"",""25.63"",""0.45"",""-0.15"",""2.45"",""0.98"",142"
"0,""2017-1-01""";"143,""23:50"",0";"187.5,""91.9"",""0.26"",""955.67"",""23.28"",""0.51"",""-0.36"",""2.25"",""1.02"",143"
"0,""2017-1-02""";"144,""00:00"",1";"178.7,""90.3"",""0.25"",""955.57"",""25.84"",""0.8"",""-0.26"",""4.21"",""1.35"",144"
"0,""2017-1-02""";"145,""00:10"",1";"251.6,""88.9"",""0.27"",""955.51"",""31.91"",""0.45"",""-0.04"",""2.45"",""1.0"",145"
"0,""2017-1-02""";"146,""00:20"",1";"256.4,""87.4"",""0.31"",""955.51"",""45.78"",""0.37"",""0.17"",""1.37"",""0.4"",146"
"0,""2017-1-02""";"147,""00:30"",1";"256.3,""86.6"",""0.27"",""955.39"",""19.69"",""0.3"",""0.27"",""1.08"",""0.25"",147"
"0,""2017-1-02""";"148,""00:40"",1";"286.3,""87.7"",""0.47"",""955.46"",""33.18"",""0.3"",""0.05"",""1.27"",""0.36"",148"
"0,""2017-1-02""";"149,""00:50"",1";"178.2,""87.6"",""0.3"",""955.48"",""63.8"",""0.32"",""0.17"",""1.37"",""0.29"",149"
"0,""2017-1-02""";"150,""01:00"",1";"176.1,""88.8"",""0.49"",""955.42"",""38.48"",""0.53"",""0.01"",""2.45"",""0.9"",150"
"0,""2017-1-02""";"151,""01:10"",1";"232.4,""88.6"",""0.47"",""955.49"",""46.84"",""0.4"",""0.09"",""1.37"",""0.5"",151"
"0,""2017-1-02""";"152,""01:20"",1";"292.4,""88.2"",""0.3"",""955.49"",""56.11"",""0.36"",""0.21"",""1.57"",""0.72"",152"
"0,""2017-1-02""";"153,""01:30"",1";"309.6,""89.4"",""0.46"",""955.5"",""36.62"",""0.45"",""0.1"",""1.67"",""0.56"",153"
"0,""2017-1-02""";"154,""01:40"",1";"273.4,""88.5"",""0.56"",""955.42"",""25.84"",""0.59"",""0.12"",""3.14"",""1.58"",154"
"0,""2017-1-02""";"155,""01:50"",1";"244.2,""89.1"",""0.35"",""955.51"",""27.38"",""0.94"",""0.04"",""3.82"",""2.08"",155"
"0,""2017-1-02""";"156,""02:00"",1";"216.6,""89.9"",""0.47"",""955.53"",""25.65"",""0.9"",""0.08"",""4.51"",""2.39"",156"
"0,""2017-1-02""";"157,""02:10"",1";"210.5,""89.8"",""0.45"",""955.5"",""21.84"",""0.95"",""0.19"",""5.39"",""3.07"",157"
"0,""2017-1-02""";"158,""02:20"",1";"215.0,""90.7"",""0.49"",""955.57"",""17.9"",""1.0"",""0.14"",""5.49"",""3.61"",158"
"0,""2017-1-02""";"159,""02:30"",1";"214.2,""90.4"",""0.47"",""955.6"",""12.86"",""0.82"",""0.14"",""6.17"",""3.88"",159"
"0,""2017-1-02""";"160,""02:40"",1";"218.3,""90.1"",""0.58"",""955.52"",""14.89"",""0.88"",""0.16"",""5.19"",""3.24"",160"
"0,""2017-1-02""";"161,""02:50"",1";"225.4,""90.0"",""0.78"",""955.6"",""17.91"",""0.74"",""0.29"",""3.72"",""1.94"",161"
"0,""2017-1-02""";"162,""03:00"",1";"217.9,""89.6"",""0.84"",""955.5"",""80.2"",""0.98"",""0.4"",""3.33"",""0.81"",162"
"0,""2017-1-02""";"163,""03:10"",1";"105.1,""90.0"",""0.87"",""955.53"",""69.04"",""0.36"",""0.29"",""1.57"",""0.3"",163"
"0,""2017-1-02""";"164,""03:20"",1";"250.0,""88.9"",""0.56"",""955.53"",""37.54"",""0.62"",""0.61"",""2.45"",""0.88"",164"
"0,""2017-1-02""";"165,""03:30"",1";"251.2,""87.8"",""0.26"",""955.48"",""40.24"",""0.54"",""0.75"",""2.06"",""0.66"",165"
"0,""2017-1-02""";"166,""03:40"",1";"335.3,""87.9"",""0.79"",""955.5"",""32.5"",""0.45"",""0.56"",""1.86"",""0.57"",166"
"0,""2017-1-02""";"167,""03:50"",1";"294.4,""89.1"",""0.51"",""955.54"",""61.8"",""0.38"",""0.55"",""1.86"",""0.36"",167"
"0,""2017-1-02""";"168,""04:00"",1";"338.1,""87.4"",""0.95"",""955.51"",""32.7"",""0.27"",""0.69"",""0.98"",""0.54"",168"
"0,""2017-1-02""";"169,""04:10"",1";"79.77,""89.0"",""0.95"",""955.5"",""35.47"",""0.41"",""0.27"",""1.47"",""0.66"",169"
"0,""2017-1-02""";"170,""04:20"",1";"5.2,""91.2"",""0.69"",""955.47"",""21.88"",""0.31"",""-0.01"",""1.37"",""0.72"",170"
"0,""2017-1-02""";"171,""04:30"",1";"293.4,""90.6"",""0.9"",""955.49"",""42.51"",""0.33"",""0.26"",""1.37"",""0.84"",171"
"0,""2017-1-02""";"172,""04:40"",1";"257.4,""87.9"",""0.68"",""955.45"",""47.76"",""0.39"",""0.8"",""1.67"",""0.55"",172"
"0,""2017-1-02""";"173,""04:50"",1";"220.1,""87.3"",""0.61"",""955.42"",""12.67"",""1.17"",""0.65"",""4.7"",""2.43"",173"
"0,""2017-1-02""";"174,""05:00"",1";"214.2,""88.0"",""0.75"",""955.42"",""25.95"",""1.07"",""0.6"",""4.7"",""2.24"",174"
